date,open,high,low,close,volume
2023-01-03,320.00,325.60,318.40,324.20,15234000
2023-01-04,324.80,328.00,322.60,327.40,18921000
2023-01-05,327.00,330.20,325.80,329.60,21045000
2023-01-06,329.00,331.40,327.60,328.80,19234000
2023-01-09,328.20,332.00,326.40,330.40,20156000
2023-01-10,330.80,333.60,329.20,331.80,22341000
2023-01-11,331.20,334.80,330.40,333.60,24567000
2023-01-12,333.00,336.20,332.20,335.40,26789000
2023-01-13,335.80,338.40,334.60,336.20,28912000
2023-01-16,336.00,337.60,333.80,335.00,25678000
2023-01-17,334.40,336.00,332.20,333.40,23456000
2023-01-18,333.00,334.80,330.60,331.80,21234000
2023-01-19,331.20,333.40,329.00,330.20,20123000
2023-01-20,329.80,331.60,327.40,328.60,19012000
2023-01-23,328.00,329.80,325.20,326.40,17890000
2023-01-24,325.80,327.40,323.60,324.80,16789000
2023-01-25,324.20,326.00,322.00,323.20,15678000
2023-01-26,322.60,324.40,320.20,321.80,14567000
2023-01-27,321.20,323.00,318.80,320.40,13456000
2023-01-30,319.80,321.60,317.40,319.00,12345000
2023-01-31,318.40,320.20,316.00,317.60,11234000
2023-02-01,317.00,318.80,314.60,316.20,10123000
2023-02-02,315.60,317.40,313.20,314.80,9012000
2023-02-03,314.20,316.00,311.80,313.40,8901000
2023-02-06,312.80,314.60,310.40,312.00,8790000
2023-02-07,311.40,313.20,309.00,310.60,8679000
2023-02-08,310.00,311.80,307.60,309.20,8568000
2023-02-09,308.60,310.40,306.20,307.80,8457000
2023-02-10,307.20,309.00,304.80,306.40,8346000
2023-02-13,306.00,307.80,303.40,305.00,8235000
2023-02-14,304.60,306.40,302.00,303.60,8124000
2023-02-15,303.20,305.00,300.60,302.20,8013000
2023-02-16,301.80,303.60,299.20,300.80,7902000
2023-02-17,300.40,302.20,297.80,299.40,7891000
2023-02-20,299.00,300.80,296.40,298.00,7780000
2023-02-21,297.60,299.40,295.00,296.60,7669000
2023-02-22,296.20,298.00,293.60,295.20,7558000
2023-02-23,294.80,296.60,292.20,293.80,7447000
2023-02-24,293.40,295.20,290.80,292.40,7336000
2023-02-27,292.00,293.80,289.40,291.00,7225000
2023-02-28,290.60,292.40,288.00,289.60,7114000
2023-03-01,289.20,291.00,286.60,288.20,7003000
2023-03-02,287.80,289.60,285.20,286.80,6992000
2023-03-03,286.40,288.20,283.80,285.40,6881000
2023-03-06,285.00,286.80,282.40,284.00,6770000
2023-03-07,283.60,285.40,281.00,282.60,6659000
2023-03-08,282.20,284.00,279.60,281.20,6548000
2023-03-09,280.80,282.60,278.20,279.80,6437000
2023-03-10,279.40,281.20,276.80,278.40,6326000
2023-03-13,278.00,279.80,275.40,277.00,6215000
