
# 0700.HK 策略回测报告
生成时间: 2025-10-17 22:32:51
回测期间: 2022-04-11 至 2025-10-17
测试策略数量: 600

## 最佳策略 (按Sharpe比率排序)


### 1. KDJ(5,5,75,20)
- 总收益率: 17.27%
- 年化收益率: 4.80%
- 波动率: 15.85%
- Sharpe比率: 0.303
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 2. KDJ(5,5,60,20)
- 总收益率: 17.27%
- 年化收益率: 4.80%
- 波动率: 15.85%
- Sharpe比率: 0.303
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 3. KDJ(5,5,65,20)
- 总收益率: 17.27%
- 年化收益率: 4.80%
- 波动率: 15.85%
- Sharpe比率: 0.303
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 4. KDJ(5,5,70,20)
- 总收益率: 17.27%
- 年化收益率: 4.80%
- 波动率: 15.85%
- Sharpe比率: 0.303
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 5. KDJ(5,5,80,20)
- 总收益率: 17.27%
- 年化收益率: 4.80%
- 波动率: 15.85%
- Sharpe比率: 0.303
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 6. KDJ(5,3,70,20)
- 总收益率: 17.27%
- 年化收益率: 4.78%
- 波动率: 15.83%
- Sharpe比率: 0.302
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 7. KDJ(5,3,65,20)
- 总收益率: 17.27%
- 年化收益率: 4.78%
- 波动率: 15.83%
- Sharpe比率: 0.302
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 8. KDJ(5,3,60,20)
- 总收益率: 17.27%
- 年化收益率: 4.78%
- 波动率: 15.83%
- Sharpe比率: 0.302
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 9. KDJ(5,3,75,20)
- 总收益率: 17.27%
- 年化收益率: 4.78%
- 波动率: 15.83%
- Sharpe比率: 0.302
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12


### 10. KDJ(5,3,80,20)
- 总收益率: 17.27%
- 年化收益率: 4.78%
- 波动率: 15.83%
- Sharpe比率: 0.302
- 最大回撤: -28.30%
- 胜率: 57.07%
- 交易次数: 187
- 最终价值: ¥117,271.12

